DISTRICT,DEM,REP,total,dem_share,dem_wasted,rep_wasted
01,2298947,2727012,5025959,0.45741459490616615,2298947,214032.5
02,2507240,3575742,6082982,0.41217284548926825,2507240,534251
03,1463752,1819341,3283093,0.4458454268581487,1463752,177794.5
04,1827807,1662941,3490748,0.5236147095121161,82433,1662941
05,2336865,3333122,5669987,0.41214644760208446,2336865,498128.5
06,1148867,986268,2135135,0.5380769834225939,81299.5,986268
07,1211633,1020181,2231814,0.5428915671288019,95726,1020181
08,1879420,970147,2849567,0.6595458187156154,454636.5,970147
09,1136323,919608,2055931,0.552704832992936,108357.5,919608
10,1980141,857773,2837914,0.6977452452752269,561184,857773
11,2204026,603839,2807865,0.7849472820096408,800093.5,603839
12,1980784,207007,2187791,0.9053808156263555,886888.5,207007
13,1752907,1475758,3228665,0.5429200613876014,138574.5,1475758
14,1489732,754550,2244282,0.6637900228224439,367591,754550
15,1992745,860728,2853473,0.6983577556192051,566008.5,860728
16,2236078,670546,2906624,0.7693041824467148,782766,670546
17,1427370,554208,1981578,0.7203198662883823,436581,554208
18,1997009,1281885,3278894,0.6090495758630806,357562,1281885
19,3111322,1960266,5071588,0.6134808269125962,575528,1960266
20,771719,1823711,2595430,0.2973376280616314,771719,525996
21,560148,680106,1240254,0.45163974476196006,560148,59979
22,595628,832997,1428625,0.41692396535129933,595628,118684.5
23,922262,1263079,2185341,0.42202200937977186,922262,170408.5
24,1710068,1166855,2876923,0.5944086789948845,271606.5,1166855
25,1062029,951037,2013066,0.5275678989163793,55496,951037
26,1852818,1269941,3122759,0.5933272468352505,291438.5,1269941
27,1114902,982983,2097885,0.5314409512437527,65959.5,982983
28,1529725,951410,2481135,0.6165424291705207,289157.5,951410
29,1019402,480447,1499849,0.6796697534218444,269477.5,480447
30,1666761,735123,2401884,0.6939390078788151,465819,735123
31,990425,762915,1753340,0.5648790308782096,113755,762915
32,1619430,960535,2579965,0.6276945617479307,329447.5,960535
33,983478,700930,1684408,0.5838716035544832,141274,700930
34,1151495,250275,1401770,0.821457871120084,450610,250275
35,994897,815351,1810248,0.5495915476774453,89773,815351
36,1561797,735589,2297386,0.6798147982097915,413104,735589
37,1222264,260607,1482871,0.8242551105254604,480828.5,260607
38,1170824,877756,2048580,0.5715295472961759,146534,877756
39,1037020,897229,1934249,0.5361357301981285,69895.5,897229
40,1186027,1479278,2665305,0.4449873466638902,1186027,146625.5
41,1190500,859663,2050163,0.5806855357354512,165418.5,859663
42,1401147,1044212,2445359,0.5729821265507437,178467.5,1044212
43,1275806,396368,1672174,0.7629624668246248,439719,396368
44,1238945,500363,1739308,0.712320647061935,369291,500363
45,1182842,1035001,2217843,0.5333299065804027,73920.5,1035001
46,942070,707884,1649954,0.5709674330314664,117093,707884
47,1264993,1165587,2430580,0.5204490286269121,49703,1165587
48,1421089,1318187,2739276,0.5187827002463424,51451,1318187
49,1231856,1061753,2293609,0.5370819525036743,85051.5,1061753
50,1415144,1064748,2479892,0.5706474314204005,175198,1064748
51,1702394,1083595,2785989,0.6110555353951506,309399.5,1083595
52,1156025,702082,1858107,0.6221520073924699,226971.5,702082
